iter	Passed	Remaining
0	0	813
1	1	772
2	2	733
3	2	713
4	3	705
5	4	703
6	4	701
7	5	698
8	6	690
9	7	699
10	7	690
11	8	687
12	9	687
13	9	683
14	10	681
15	11	678
16	11	677
17	12	675
18	13	672
19	13	673
20	14	678
21	15	679
22	15	676
23	16	674
24	17	672
25	17	669
26	18	666
27	19	663
28	19	662
29	20	669
30	21	667
31	21	665
32	22	663
33	23	662
34	23	659
35	24	658
36	25	661
37	26	661
38	26	662
39	27	661
40	28	660
41	28	659
42	29	659
43	30	661
44	31	661
45	31	661
46	32	659
47	33	657
48	33	656
49	34	654
50	35	653
51	35	652
52	36	651
53	37	651
54	37	649
55	38	648
56	39	648
57	39	646
58	40	646
59	41	647
60	41	646
61	42	645
62	43	644
63	43	642
64	44	641
65	45	640
66	45	640
67	46	638
68	47	638
69	47	636
70	48	635
71	49	633
72	49	631
73	50	629
74	50	627
75	51	625
76	52	625
77	52	625
78	53	623
79	54	621
80	54	619
81	55	617
82	55	613
83	56	611
84	56	609
85	57	608
86	58	610
87	58	608
88	59	607
89	59	605
90	60	604
91	61	602
92	61	600
93	62	598
94	62	598
95	63	597
96	64	596
97	64	594
98	65	593
99	65	591
100	66	590
101	67	590
102	67	591
103	68	592
104	69	591
105	70	591
106	70	589
107	71	589
108	72	588
109	72	587
110	73	587
111	74	586
112	74	586
113	75	585
114	75	584
115	76	583
116	77	581
117	77	580
118	78	578
119	78	578
120	79	579
121	80	577
122	80	576
123	81	575
124	81	573
125	82	572
126	83	570
127	83	569
128	84	570
129	85	569
130	85	568
131	86	567
132	86	566
133	87	565
134	87	563
135	88	562
136	89	561
137	89	561
138	90	560
139	91	559
140	91	558
141	92	556
142	92	554
143	93	553
144	93	552
145	94	552
146	95	551
147	95	551
148	96	550
149	96	549
150	97	548
151	98	547
152	98	545
153	99	544
154	99	544
155	100	544
156	101	543
157	101	542
158	102	542
159	103	541
160	103	539
161	104	538
162	104	537
163	105	536
164	105	536
165	106	535
166	107	534
167	107	533
168	108	534
169	109	533
170	109	533
171	110	532
172	111	531
173	111	530
174	112	529
175	112	528
176	113	528
177	114	527
178	114	527
179	115	526
180	116	526
181	116	525
182	117	524
183	118	524
184	118	523
185	119	522
186	119	521
187	120	520
188	121	520
189	122	520
190	122	520
191	123	520
192	124	519
193	124	519
194	125	518
195	126	519
196	127	518
197	127	518
198	128	517
199	129	517
200	129	516
201	130	515
202	131	515
203	131	514
204	132	514
205	133	514
206	133	513
207	134	512
208	135	511
209	135	510
210	136	509
211	137	509
212	137	509
213	138	508
214	139	507
215	139	506
216	140	505
217	140	504
218	141	503
219	141	502
220	142	502
221	143	502
222	143	501
223	144	500
224	145	499
225	145	499
226	146	498
227	146	497
228	147	496
229	148	496
230	149	496
231	149	495
232	150	494
233	150	493
234	151	492
235	151	491
236	152	490
237	153	489
238	153	489
239	154	488
240	154	487
241	155	486
242	155	485
243	156	485
244	157	484
245	157	483
246	158	482
247	158	482
248	159	481
249	160	480
250	160	479
251	161	478
252	161	478
253	162	477
254	163	476
255	163	476
256	164	475
257	165	474
258	165	474
259	166	473
260	166	472
261	167	471
262	167	470
263	168	469
264	169	469
265	169	468
266	170	467
267	170	466
268	171	466
269	172	465
270	172	465
271	173	464
272	174	463
273	174	463
274	175	462
275	176	462
276	176	461
277	177	460
278	177	459
279	178	459
280	179	458
281	179	457
282	180	457
283	181	456
284	181	455
285	182	455
286	182	454
287	183	453
288	184	452
289	184	451
290	185	451
291	185	450
292	186	450
293	187	449
294	187	448
295	188	447
296	188	447
297	189	446
298	190	446
299	190	445
300	191	444
301	192	444
302	192	443
303	193	442
304	193	441
305	194	441
306	195	440
307	195	439
308	196	439
309	196	438
310	197	437
311	198	436
312	198	436
313	199	435
314	199	434
315	200	433
316	201	433
317	202	433
318	202	432
319	203	432
320	204	431
321	204	431
322	205	430
323	205	429
324	206	428
325	207	428
326	207	427
327	208	426
328	208	426
329	209	425
330	210	424
331	210	424
332	211	423
333	212	422
334	212	422
335	213	421
336	214	421
337	214	420
338	215	419
339	215	419
340	216	418
341	217	417
342	217	417
343	218	416
344	219	415
345	219	415
346	220	414
347	220	414
348	221	413
349	222	412
350	222	412
351	223	411
352	224	410
353	224	409
354	225	409
355	225	408
356	226	407
357	227	407
358	227	406
359	228	405
360	229	405
361	229	404
362	230	403
363	230	403
